PX914798.1	1
PX914797.1	8
PX914796.1	2
PX914794.1	6
PX914793.1	7
PX914792.1	4
PX914790.1	4
PX914788.1	7
PX914787.1	6
PX914785.1	1
PX914784.1	8
PX914783.1	2
PX914782.1	2
PX914780.1	1
PX914779.1	8
PX914778.1	7
PX914777.1	4
PX914775.1	6
PX914774.1	7
PX914773.1	2
PX914772.1	4
PX914770.1	6
PX914769.1	1
PX914767.1	8
PX914766.1	8
PX914764.1	6
PX914763.1	1
PX914762.1	4
PX914760.1	2
PX914759.1	7
PX914758.1	6
PX914757.1	7
PX914755.1	4
PX914754.1	1
PX914753.1	8
PX914752.1	2
PX914750.1	1
PX914749.1	6
PX914748.1	2
PX914747.1	7
PX914746.1	4
PX914744.1	8
PX914742.1	6
PX914741.1	1
PX914740.1	4
PX914738.1	2
PX914737.1	7
PX914736.1	8
PX914734.1	1
PX914732.1	8
PX914731.1	2
PX914730.1	7
PX914728.1	4
PX914727.1	6
PX914726.1	8
PX914725.1	1
PX914723.1	2
PX914722.1	6
PX914720.1	4
PX914719.1	7
PX914717.1	2
PX914716.1	8
PX914715.1	1
PX914714.1	4
PX914712.1	7
PX914711.1	6
PX914710.1	8
PX914708.1	1
PX914707.1	6
PX914706.1	4
PX914704.1	2
PX914703.1	7
PX914702.1	4
PX914700.1	7
PX914699.1	1
PX914698.1	6
PX914697.1	2
PX914695.1	8
PX914694.1	6
PX914693.1	7
PX914692.1	4
PX914690.1	2
PX914689.1	8
PX914688.1	1
PX914686.1	4
PX914684.1	7
PX914683.1	2
PX914682.1	6
PX914681.1	1
PX914679.1	8
PX914678.1	8
PX914676.1	6
PX914675.1	2
PX914673.1	4
PX914672.1	7
PX914671.1	1
PX914670.1	8
PX914668.1	6
PX914667.1	2
PX914666.1	7
PX914664.1	4
PX914663.1	1
PX914662.1	6
PX914661.1	1
PX914660.1	2
PX914658.1	4
PX914657.1	7
PX914656.1	8
PX914653.1	8
PX914652.1	7
PX914651.1	4
PX914649.1	1
PX914648.1	6
PX914647.1	2
PX914645.1	2
PX914644.1	1
PX914643.1	8
PX914642.1	7
PX914641.1	4
PX914639.1	6
PX914637.1	2
PX914636.1	1
PX914635.1	8
PX914634.1	4
PX914632.1	7
PX914631.1	6
PX914629.1	4
PX914628.1	1
PX914627.1	7
PX914626.1	6
PX914625.1	2
PX914623.1	8
PX914622.1	8
PX914620.1	6
PX914619.1	2
PX914618.1	1
PX914616.1	4
PX914615.1	7
PX914614.1	6
PX914612.1	4
PX914611.1	7
PX914610.1	8
PX914609.1	1
PX914607.1	2
PX914606.1	6
PX914604.1	4
PX914603.1	7
PX914602.1	8
PX914601.1	1
PX914599.1	2
PX914598.1	1
PX914596.1	8
PX914595.1	2
PX914594.1	7
PX914592.1	4
PX914591.1	6
PX914590.1	2
PX914589.1	6
PX914588.1	7
PX914587.1	1
PX914586.1	4
PX914584.1	8
PX914582.1	8
PX914580.1	6
PX914579.1	1
PX914578.1	4
PX914576.1	7
PX914575.1	2
PX914573.1	1
PX914572.1	8
PX914571.1	2
PX914570.1	4
PX914568.1	7
PX914567.1	6
PX914566.1	6
PX914565.1	1
PX914563.1	4
PX914562.1	7
PX914561.1	2
PX914560.1	8
PX914558.1	8
PX914557.1	2
PX914555.1	1
PX914554.1	6
PX914553.1	4
PX914551.1	7
PX914550.1	4
PX914548.1	7
PX914547.1	6
PX914545.1	1
PX914544.1	8
PX914543.1	2
